"created_at","user_id","screen_name","status_id","full_text"
"Fri Apr 21 12:25:06 +0000 2023","2747635901","JakobEschler","1649388791390412801","Big shoutout to the #TidyTuesday and #nflverse community and especially 
@tanya_shapiro. The inspration and knowledge they share is a big reason I'm at this point now.

2/3"
"Fri Apr 21 21:36:04 +0000 2023","3067061292","josephjefe","1649527445765394433","Presenting my newest effort, the Trade Calculator. 

This presents 6 different trade charts, and how the trade up team and trade down team both did, according to each one. 

KC trades from last year (both with NE, up to 21 for McDuffie, and down to 54 for Skyy Moore). 

#nflverse https://t.co/jIYSu8P4Tt"
