"created_at","user_id","screen_name","status_id","full_text"
"Sun Jan 02 08:12:29 +0000 2022","1294368617635762180","sportfoliokings","1477553370026160129","#NFL Week 17 market movements and adjustments v lookahead 👀 and preseason lines 📈🏈📉

#gamblingtwitter  #nflverse https://t.co/aB5819EBtw"
"Sun Jan 02 13:54:51 +0000 2022","451578920","andreacasiragh1","1477639527082741764","Today is the last game of Roethlisberger at Heinz FIeld. 
I think we have to pay more respect for him and quarterbacks like Matt Ryan, Rivers, Romo for what they have done for their team.

#nflverse https://t.co/durJjjKVF7"
