"created_at","user_id","screen_name","status_id","full_text"
"Fri Nov 18 03:41:06 +0000 2022","1103787522084257793","Doug_Analytics","1593449190394314756","Added EPA/Play from All QB Rushes

• Tua has the highest overall EPA/play despite a negative EPA/play on QB rushes

• Fields (and Kyler and Russ) have a +EPA/play bc of their QB Rushes

• Daniel Jones has the 4th highest added EPA/play from rushes

Data: #nflverse https://t.co/mxXuZpizji"
"Fri Nov 18 03:25:44 +0000 2022","839942645883551744","_TanHo","1593445322226819072","Places you can find me: 

Mastodon: https://t.co/ZfktWlshyL
R4DS Slack: https://t.co/zmXCiw0KuL (#rstats nerdery)
#nflverse discord: https://t.co/dFZxF5ykoc (nfl nerdery)
@dynasty_discord discord: https://t.co/8IyYhRUccP (fantasy football stuff)

…and here."
"Fri Nov 18 13:06:12 +0000 2022","246560112","tsomers32","1593591402927202305","The entire #nflverse has been such a foundational piece of my journey as a fan, and an analyst in my work. That community constantly surprises me and inspires new ways of thinking. Shout out to @reinhardNFL in particular for his quality of work and kindness in interactions. (2/4)"
