"created_at","user_id","screen_name","status_id","full_text"
"Sun Feb 13 03:51:01 +0000 2022","1478918161088991235","crooksNFL","1492707861071159297","When analysing prop bet results for 2021/22 season there is a clear slew to the under on ALL RB markets, with the most prominent being the longest rush only hitting over at a 17% rate! 

How we feeling about Joe Mixon &amp; Cam Akers longest rush prop of 13.5?

#nflverse
#RStats https://t.co/Jl9BSDB0xs"
"Sun Feb 13 18:27:33 +0000 2022","362957762","steodosescu","1492928446090997762","Hopefully we get a Super Bowl as good as the rest of these playoff games. 

Calculating Game Excitement Index (GEI) similar to how I saw @recspecs730 do for CBB, the divisional and conf champ rounds are going to be hard to beat. Especially Buf vs KC.

Data: #nflverse https://t.co/RyWHfnrLSh"
