"created_at","user_id","screen_name","status_id","full_text"
"Sat Nov 13 02:21:24 +0000 2021","1351762913195925505","AnalyticsLeo","1459345622381871105","Yesterday Lamar particularly struggled on 3rd down. He is bottom #7 in 3rd downs all season, in spite of being top #7 in early downs! A struggle that Baker Mayfield and Russell Wilson know even more... #nflverse https://t.co/IYkGd0xDco"
"Sat Nov 13 12:38:50 +0000 2021","1431771300326830081","bearemy3012","1459501004039151617","前回好評だった #nflverse から、またQBに関する興味深いデータが提供されていたので共有

横軸:1&amp;2downでの得点期待値
縦軸:3downでの得点期待値
青い点線が平均値となり、赤い線が両方で同じ数値を出した場合のLine

右上のゾーンにいるQBがどのdownでも数字を叩き出せるQBといえます #nfljapan https://t.co/zUggzfqmMw"
"Fri Nov 05 14:25:46 +0000 2021","1194759040657551361","tejfbanalytics","1456628812645552130","how quarterbacks have performed in high expected pass situations so far in 2021 #nflverse https://t.co/OVmrM8diYs"
"Tue Nov 09 19:15:13 +0000 2021","1205557554442575878","mrcaseb","1458151207667650561","Week 9 update of the moving average of offensive epa.I have lowered the window size to 65 plays as this is the average number of offensive plays per game excluding special teams plays (they were included in the 75 play window size in the first version of the chart)
data:#nflverse https://t.co/wnfkseI1F9"
"Thu Nov 11 23:53:14 +0000 2021","1351762913195925505","AnalyticsLeo","1458945948470624265","Here's the EPA/Play by Play Type for each QB halfway through the 2021 season! We can see who relies more on what to get to their current production. Jameis &amp; Hurts getting a lot of value from scrambling, Rodgers from penalties, Tanny from runs, Teddy B...just ballin'? #nflverse https://t.co/rk3xx6xeS5"
"Sat Nov 13 02:21:24 +0000 2021","1351762913195925505","AnalyticsLeo","1459345622381871105","Yesterday Lamar particularly struggled on 3rd down. He is bottom #7 in 3rd downs all season, in spite of being top #7 in early downs! A struggle that Baker Mayfield and Russell Wilson know even more... #nflverse https://t.co/IYkGd0xDco"
"Fri Nov 05 20:17:04 +0000 2021","1369000075666591745","cdvalenti","1456717218557927426","With Odell Beckham's release imminent, let's take a look at how spending big on WRs impacts team success. 

Super Bowl winners generally have middle of the pack spending. And in 2020, WR spending had no impact on team wins.

data: #nflverse #overthecap
idea: @JJ31030379 https://t.co/UAyK1voEfa"
"Sat Nov 06 18:07:35 +0000 2021","1370449271540043776","_pranavrajaram","1457047022347894784","🚨Introducing the NFL Patrick Beverley Awards🚨
 
These prestigious honors go to the players who have been ""running around, doing nothing"" this season.
 
QBs: High time to throw, low avg target depth
WRs: Lots of routes run, low targets
RBs: Lots of carries, low yards
#nflverse https://t.co/YBQjYj618l"
"Sun Nov 07 17:36:10 +0000 2021","1415047596293378050","CDFBAnalysis","1457401502587367429","Sorry for the few-week hiatus, been pretty busy, but I'm back with some RB clusters for week 9! Cluster labels:
#1 The quintessential backup RBs
#2 The Bellcows
#3 Shifty in space
#4 The runners that should see more attempts
#5 The pass-catchers
#nflverse https://t.co/oTqBkLXaX2"
"Sat Nov 06 18:37:14 +0000 2021","1428516950280450049","neustreet_will","1457054484882993155","Though it's a small sample size, Goff does seem to be getting sacked a tad deeper than usual. Discussion point among Lions' fans about how much the o-line (esp. tackles) is to blame, particularly with deep dropbacks. @PrideOfDetroit #nflverse https://t.co/HCO7MS3zwO"
