"created_at","user_id","screen_name","status_id","full_text"
"Wed Sep 29 02:39:13 +0000 2021","1371650306732351491","BabhBear","1443042652061110272","Sometimes you have an interesting question: What do 1st round rookie QB's EPA / play look like throughout their first season. 

And then you create a pretty graph that offers almost no conclusion. 😞

#nflverse https://t.co/cOuAtpTOOk"
"Wed Sep 29 13:45:00 +0000 2021","807051840881733633","zweinberg18","1443210201499242501","Lamar was slinging the ball downfield against the Lions in a way he never has before. With an average time to throw of 3.9 seconds and an average intended air yards of 19.3, per NextGenStats, Lamar's Week 3 performance stands apart from the rest of his career so far #nflverse https://t.co/sqVSsWR6Yv"
