"created_at","user_id","screen_name","status_id","full_text"
"Sun Sep 12 03:21:37 +0000 2021","1370449271540043776","_pranavrajaram","1436892728516911106","Wanted to play around with @thomas_mock's great new gtExtra package, so here are NFL punters by EPA per Punt since 2010.
Also attached is a graph that further proves my statement that Jake Bailey is the punter version of Patrick Mahomes in #nflverse viz. https://t.co/ESEXqzCRLQ"
"Sun Sep 12 15:10:32 +0000 2021","411946161","LazyMillennial0","1437071135359832065","#nflverse Finished my win probability model in time for the 2021 NFL season! This is originally a model I built in 2015 (inspired by 538) to predict CFL games. Here are the win probabilities for each game today starting with #DirtyBirds vs. #FlyEaglesFly (-2.5 ATL) https://t.co/93BVlra8z6"
"Sun Sep 12 23:38:37 +0000 2021","1081617957439049729","ThePuntRunts","1437198996854935552","one of these days I'll remember to tag #nflverse"
