"created_at","user_id","screen_name","status_id","full_text"
"Wed Apr 26 18:57:20 +0000 2023","3067061292","josephjefe","1651299438785347584","Trade Calculator: 

Panthers move up to #1 overall for their QBOTF

Create your own trade tables here: https://t.co/JCb0Zxpsn5

Note: I am valuing DJ Moore as a mid 2023 1st, because panthers wanted to give up another first rather than him. 

#nflverse https://t.co/qR9HZKr4Zx"
"Wed Apr 26 19:32:49 +0000 2023","1076168385292128257","jeevygrfx","1651308366944141336","Rush EPA/play vs Number of Scrambles for 2022 szn

#nflverse https://t.co/AwgictvBD5"
