"created_at","user_id","screen_name","status_id","full_text"
"Wed Jul 27 18:03:35 +0000 2022","451578920","andreacasiragh1","1552354022975315969","If someone asks you why Patrick Mahomes is not blitzed .... this is the answer.
#nflverse https://t.co/p2CzoabQfS"
"Wed Jul 27 21:31:52 +0000 2022","839942645883551744","_TanHo","1552406441805447170","Carl's work with piggyback is incredible and the #nflverse has reaped a ton of the benefits - I've been super proud to help and spread the word at #rstudioconf2022! https://t.co/TSN3bpiONw"
