"created_at","user_id","screen_name","status_id","full_text"
"Mon Oct 04 00:05:03 +0000 2021","1081617957439049729","ThePuntRunts","1444815794249023490","Your weekly pending-SNF-and-MNF punter EPA rankings!

🦵JACK FOX IS BACK FOLKS soak it in #OnePride 
🦵Bojo continues to be a brilliant signing
🦵Youngsters Logan Cooke and AJ Cole III are thriving
🦵Michael Dickson quietly climbing after a rocky start

#nflverse https://t.co/odMcOYqdtk"
"Mon Oct 04 14:25:57 +0000 2021","726939781507125248","BradCongelio","1445032449214406656","#Steelers and #Texans fans should cover their eyes. 

Using data from the #nflverse, here is a look at the percentage of times a team's air yards were &gt;= the yards needed on fourth down. 

@BrianBatko @ThePoniExpress @TheSteelersWire @gerrydulac @MikeAsti11 https://t.co/gVZfuMVeYx"
"Mon Oct 04 15:43:48 +0000 2021","1194759040657551361","tejfbanalytics","1445052040699269126","through the first four weeks of the season, no one has a higher average depth of target on complete passes than lamar jackson #nflverse https://t.co/1ItdAYkUZA"
