"created_at","user_id","screen_name","status_id","full_text"
"Thu Oct 21 04:55:04 +0000 2021","1333640422435024897","patpAItriot","1451049372817534983","Made a team logo scatter plot to try see if some teams are better at converting certain kinds of third downs. Turns out they are. NE for example is way above the median before 8 yards, and hit a wall on third and long. #nflverse https://t.co/c9QEuARlTf"
"Thu Oct 21 16:02:00 +0000 2021","40782542","reinhurdler","1451217212186976263","A superb revenge game schedule on tap this week:

• Case Keenum!
• Stafford / Goff trade
• Hop / DJ trade
• DeForest Buckner
• Michael Brockers
• JJ Watt
• Graham Gano
• Nick Folk

Data: #nflverse https://t.co/gkHxMS5lxl"
"Thu Oct 21 18:36:41 +0000 2021","29360193","davisj2007","1451256141665681417","We're heading into Week 7 of the #NFL season and my model is making some WILD projections.  But I built the danged thing so I'm going to let it ride and maybe tweak  next year (unless, of course, it's right 😆)

I have to say, it's feeling WAYYY too confident, IMHO. #nflverse https://t.co/2zq0HRlbTr https://t.co/3pT3nWS1xc"
"Thu Oct 21 18:36:43 +0000 2021","29360193","davisj2007","1451256148833734658","The model has consistently hated the @Chiefs this season, and that's reflected in the projections for this week.  Honestly, this projection made me check my code for bugs - I didn't find any! #nflverse https://t.co/maWmdRzcPf"
"Thu Oct 21 18:36:45 +0000 2021","29360193","davisj2007","1451256154919743488","For a better picture of team power rankings, here are the current estimates and uncertainty around ""true"" team strength #nflverse https://t.co/pojVlr6WBO"
"Thu Oct 21 18:36:46 +0000 2021","29360193","davisj2007","1451256161550929925","And here is how the model's thinking has updated over time - what stands out to you? #nflverse https://t.co/qeejl0Yqmi"
"Thu Oct 21 23:23:58 +0000 2021","37262155","G_ROG","1451328436551577613","QB Adjusted EPA per Play through week 6
Not a ton of changes, but Tannehill keeps coming back to his baseline and Mahomes is just fine after a flop in week 5. #nflverse https://t.co/rtfncBa6o4"
