"created_at","user_id","screen_name","status_id","full_text"
"Mon Oct 03 11:57:09 +0000 2022","1337945775914045442","throwthedamball","1576904182950662144","Through 4 weeks, here's how well each offense has moved the ball on scripted plays vs non scripted plays
#nflverse https://t.co/iNn72qscXe"
"Mon Oct 03 12:09:23 +0000 2022","1337945775914045442","throwthedamball","1576907262119276544","Through 4 weeks, here's how well each team has moved the ball on scripted plays vs non scripted plays. 
#nflverse https://t.co/qtiQFHfSQI"
