"created_at","user_id","screen_name","status_id","full_text"
"Thu Oct 14 01:36:38 +0000 2021","1369000075666591745","cdvalenti","1448462721427595265","Week 5 of NFL QB DICK Size... Scoring each QB by aDOT and Passing TDs. 

Updates:
- Dot sizes represent pass attempts
- Team colors
- Andy Dalton officially filtered out

Data: #nflverse https://t.co/vFxJ0NcjfO"
"Thu Oct 14 02:19:33 +0000 2021","1415047596293378050","CDFBAnalysis","1448473522888712195","Which RBs are expected to increase their red zone TD total this season?

*One thing to note is that, yes, Jalen Hurts has 10 rush attempts in the red zone.

Also, this is definitely not a Jonathan Taylor tweet. Nope. Not one bit.

#nflverse https://t.co/os0Oma4hWO"
