"created_at","user_id","screen_name","status_id","full_text"
"Fri Jun 17 16:00:03 +0000 2022","935526760023777280","BrunoHMioto","1537827419926802434","Let's see the draft round of the 53-man roster for each NFL team on last season!

Really awesome to see that some teams have more than 20 UFA players!

🔗: https://t.co/FcXtAvUXBI

#nflverse #RStats #ggplot2 https://t.co/dJFzFacnf2"
"Fri Jun 17 16:46:46 +0000 2022","1055998106519658496","OliverJCochrane","1537839179006197761","Data is complete! 

Full article will be making its way to @jetsxfactor in the next week🔥 

#Jets #nflverse https://t.co/TEI3ltzH9u"
