"created_at","user_id","screen_name","status_id","full_text"
"Fri Sep 10 15:58:00 +0000 2021","40782542","reinhurdler","1436358302640885781","Dallas &amp; Tampa Bay combined to drop back to pass on 93 of 119 of first and second down plays (78.2%), the highest rate of any game since at least 2005.

The nerds have won.

Data: #nflverse https://t.co/QJv47jtVmb"
"Fri Sep 10 18:36:02 +0000 2021","445781077","henrygise","1436398075917082626","Bucs and Cowboys passing charts from last night ⬇️

Brady was successful going at the right side, and Kellen Moore called a shit ton of short outside passes on early downs #nflverse https://t.co/rreaRhVe8g"
