"created_at","user_id","screen_name","status_id","full_text"
"Fri Sep 02 20:55:55 +0000 2022","1194759040657551361","tejfbanalytics","1565805745542938624","expected yards per carry and actual yards per carry for each running back in the 2021 season #nflverse https://t.co/J8QG3hcOOM"
"Fri Sep 02 23:50:53 +0000 2022","1362919198394093572","Adeiko_FF","1565849775249002496","Last month the guys from the #nflverse added snap participation data to their datasets, and that gave me the idea of creating some plots to track some RB snap data that seems important for fantasy. Here is what I came up with:  1/10 https://t.co/l8J11hOJ2g"
"Fri Sep 02 23:50:58 +0000 2022","1362919198394093572","Adeiko_FF","1565849797591982080","If you are interested in more check the 2 imgur albums, and also you can find the dataset in the #nflverse 
https://t.co/6wZNlESkh4
Thanks to @_TanHo and @mrcaseb for helping me with some plot quirks and to @John_B_Edwards for doing the work of scraping all the data.

 10/10"
