"created_at","user_id","screen_name","status_id","full_text"
"Sun Oct 23 19:11:51 +0000 2022","1055998106519658496","OliverJCochrane","1584261336451543040","Wow, look at the jump in pass EPA/play when you only include Zach Wilson's starts this year😧 #Jets #nflverse https://t.co/t28Ljgqp7b https://t.co/PaFRzoSZpk"
"Mon Oct 24 14:30:36 +0000 2022","1055998106519658496","OliverJCochrane","1584552946028941314","Now, after 7 weeks, the #Jets rank counting only ZW starts.

Zach Wilson takes this offense from bad with Flacco to middle of the pack (or better if he improves).

#nflverse https://t.co/ypMhdR4uQN"
"Tue Oct 25 00:14:04 +0000 2022","1103787522084257793","Doug_Analytics","1584699779010859009","The #Giants rank at the top of the league in 10+ yard runs, but at the bottom of the league in 15+ yard passes

#NFLVerse https://t.co/kOC5KrmvCf"
"Fri Oct 28 02:29:56 +0000 2022","1103787522084257793","Doug_Analytics","1585821133865390080","Kenneth Walker has an impressive 12 ‘highlight’ runs of 10+ yards on 67 carries (17.9%), but has also been ‘stuffed’ for 0 or less yards on 18/67 carries (26.9%)

Saquon Barkley is league average with 17/143 (11.9%) highlight runs and 24/143 (16.8%) stuffed runs

#NFLVerse https://t.co/omuuRCzPqG"
"Wed Oct 26 13:51:49 +0000 2022","1139018976053420032","DPRees8","1585267961496887298","#nflverse https://t.co/wCK2COyICn"
"Fri Oct 21 12:20:22 +0000 2022","1337945775914045442","throwthedamball","1583433007108853760","Inpredict is a valuable resource for determining market signal, but it should not be the exclusive source. Courtesy of @deepvaluebettor's elite dataviz, here is a more holistic view, through 6 weeks, of where the broader market stands on each team. 
#nflverse https://t.co/LPH6Z7NzYg"
"Fri Oct 21 12:51:00 +0000 2022","1337945775914045442","throwthedamball","1583440716100952064","Updated Drive Quality on scripted plays vs non scripted through week 6. Can't make up this SF,LAR, GB cluster. 
#nflverse https://t.co/ReQ56TPEZ5"
"Tue Oct 25 18:26:49 +0000 2022","1433130120945020929","YinzsideTheGame","1584974778427125760","#Steelers marks in Week 7 in terms of YAC and EPA. 

Data indicating that George Pickens does not have a lot of separation but certainly generates value when ball is in his hands. Similar to Freiermuth.

#nflverse https://t.co/m08b8RFJnE"
"Fri Oct 21 11:36:41 +0000 2022","1551486635367288832","cover2figuRes","1583422014018056193","𝗗𝗿𝗶𝘃𝗲 𝗿𝗲𝗰𝗮𝗽 from #thursdaynightfootball.

This viz is still a work in progress, but thought I'd share an update following some additions.

Was intrigued with the Eckel discussion online recently, so have attempted to add some of this data in the viz.

#nflverse https://t.co/jde7nsYI16"
"Tue Oct 25 12:22:03 +0000 2022","1551486635367288832","cover2figuRes","1584882983403917313","Thought I'd knock this same plot out for the #NFL 𝗿𝘂𝗻𝗻𝗶𝗻𝗴 𝗯𝗮𝗰𝗸𝘀 while I was at it.

Players with a ⬆️ 𝗰𝘂𝗺𝘂𝗹𝗮𝘁𝗶𝘃𝗲 𝗘𝗣𝗔 are shown in the top rows.

Chubb and Jacobs the clear standouts, and its a massive shame about Breece Hall.

#nflverse #NFLTwitter https://t.co/yS0udZxw5P https://t.co/o9Q6zmGioG"
