"created_at","user_id","screen_name","status_id","full_text"
"Thu Sep 30 23:59:24 +0000 2021","465857634","mikeyirene","1443727211052290053","How has your team's kicker performed so far this season? Field Goals Over Expected thru the first 3 weeks:
#nflverse https://t.co/CAc9UVQVB9"
"Fri Oct 01 11:37:22 +0000 2021","1369000075666591745","cdvalenti","1443902859284779012","Which teams are benefiting from some early season turnover luck? Adjusting Defensive EPA/P for turnovers. Teams with a red Diff rely heavily on turnovers for defensive success.

Data: #nflverse https://t.co/zniOD0hILM"
