"created_at","user_id","screen_name","status_id","full_text"
"Tue Dec 13 17:04:09 +0000 2022","3067061292","josephjefe","1602710979975913472","Alright. Let's do the Snaps by Week charts. As always, we start with tight ends. Kelce is the man. Gray is getting around 60% of the snaps. He's a big part of this offense. 

#nflverse #rstats https://t.co/QQYaNw7ym4"
"Tue Dec 13 17:04:10 +0000 2022","3067061292","josephjefe","1602710984174362625","Running backs. McKinnon kept the top spot for the second straight week, and was in for most of the snaps in the fourth quarter. Pop Pacheco did have that magnificent run to ice the game though. 

#nflverse #rstats https://t.co/AWeMq0oeXJ"
"Tue Dec 13 17:04:11 +0000 2022","3067061292","josephjefe","1602710987810885632","Wide Receivers. Since week 10 vs the Jags, Watson has been either the #1 or #2 WR on the team in terms of snaps. MVS's snaps have fallen each week since his high of 82% in week 10. Moore is maintaining his 40-ish percent of snaps. 

#nflverse #rstats https://t.co/gqD7XdEq0w"
