"created_at","user_id","screen_name","status_id","full_text"
"Thu Dec 09 02:49:20 +0000 2021","1333640422435024897","patpAItriot","1468774738319265796","How is Mac Jones stacking EPA-wise against his predecessors? #nflverse #ggplot2 https://t.co/Vy02bKTYrT"
"Thu Dec 09 22:14:18 +0000 2021","1365340156069306371","deepvaluebettor","1469067911591514117","the patriots have won seven straight, covering in all of them by more than TD 🏈

even more impressive is that they continue to cover by margin as the hurdle for doing so has gotten priced higher and higher week-over-week relative to both preseason and lookahead lines 

#nflverse https://t.co/yT8l5s4igY"
