"created_at","user_id","screen_name","status_id","full_text"
"Thu Sep 16 12:47:14 +0000 2021","1369000075666591745","cdvalenti","1438484624196489228","How big is your Quarterback's DICK? Introducing the Demonstration of Innate Confidence and Killer-instinct, aka DICK size. It ranks QBs by their Air Yards per attempt and Pass TDs per game. https://t.co/16Ray3N1Px

Data: #nflverse https://t.co/Y1b6EOFzEo"
"Thu Sep 16 12:36:05 +0000 2021","749975081598713856","TheJohnnyKilroy","1438481815010951170","The #FantasyFootball community needs an awareness campaign to support when an NFL player goes down for injury. Not all of us are jerks, and rooting for an injury/calling out injured players on social media is classless. Get well @RMos_8Ball  #nflverse #NFL"
"Thu Sep 16 14:25:00 +0000 2021","807051840881733633","zweinberg18","1438509225559400448","The Ravens-Raiders matchup featured 5 swings in win probability of at least 20%. Four of those 5 had the Ravens on the ~losing~ end of those plays.

Next up, a Chiefs team that lives and dies by the big play, coming off a dramatic comeback... #nflverse https://t.co/l37pgu6uwV"
"Thu Sep 16 14:30:00 +0000 2021","807051840881733633","zweinberg18","1438510486341832704","One thing from Week 1 that was familiar for the Ravens? Taking a long time to snap the ball. Baltimore had the 6th lowest average time remaining on the play clock at the snap in 2020 at 8.8 secs and the 5th lowest in Week 1 at 7.2 secs. #nflverse https://t.co/FwIg35mTkl"
"Thu Sep 16 15:03:04 +0000 2021","29360193","davisj2007","1438518804967936003","The model has made it's adjustments after week one, and boy does it love the @Eagles a liiiiitttle too much.  But that's the nature of Bayesian modelling with relatively uninformed priors! #nflverse @nflseedR https://t.co/2zq0HR3AuR https://t.co/n3MGgy8hm7"
"Thu Sep 16 16:10:07 +0000 2021","242557699","Cardanski0","1438535681232588801","Pass&amp;Rush charts updated for all week 1 teams. Surprised to see BAL's overall offense not only ended up below average, but their rushing success rate was *squints* 2nd to last in the league.

#tableau #nflverse https://t.co/Qr1kXeFh7j"
"Thu Sep 16 17:21:12 +0000 2021","2271883289","Tucker_TnL","1438553569041391620","I've taken another crack at summarizing NFL team game performance.

Inspired by @EvolvingHockey's GAR charts, these plots show each play from a given game and how much (&amp; in what direction) it impacted the possession team's expected points.

#nflverse

https://t.co/SW1FIprbuq https://t.co/qlQ4xmW7ga"
"Thu Sep 16 17:32:04 +0000 2021","726939781507125248","BradCongelio","1438556303983534086","My @Twitter sports update features a tweet from … me. 

#nflverse #NFL #herewego https://t.co/Rk3rr1DYeT"
"Thu Sep 16 18:52:38 +0000 2021","37262155","G_ROG","1438576580079472653","#nflverse QB's 2021 adjusted EPA per play charted against their career adjusted EPA per play - highlighting QBs who have played significantly outside their norm (i.e. Tannehill, Rodgers, Ryan, Winston, etc.) https://t.co/VqGtQCFrmV"
