"created_at","user_id","screen_name","status_id","full_text"
"Tue Feb 01 14:38:24 +0000 2022","1337945775914045442","throwthedamball","1488522122972606464","Explosive plays are often measured by their frequency(9% rate etc). This is valuable, but fails to capture their dynamic nature. A gain of 40 != 20. 

Using drives as our unit of analysis, we can see the teams that added the most expected points via explosive plays. 

#nflverse https://t.co/sDAbzsDOH8"
"Tue Feb 01 16:17:22 +0000 2022","807051840881733633","zweinberg18","1488547031752720385","Much of the data used in the blog, including in this piece, will rely on the @nflfastR model. I cannot speak highly enough of the project and the people involved in it -- most of what I've learned relating to football analysis has come from the #nflverse 

https://t.co/ouIslbbvVP"
