"created_at","user_id","screen_name","status_id","full_text"
"Thu May 12 12:27:16 +0000 2022","534111288","BenHorsley89","1524727912192430083","Used non-metric multidimensional scaling here to assess the (dis)similarity in #NFL team behavior based on 15 performance metrics (EPA, pressure rate, point diff etc.).

Can get a sense of the relationships in team ""profiles"" using multivariate data.

#nflverse #sportsanalytics https://t.co/fENJE4Ripl"
"Thu May 12 16:45:51 +0000 2022","2836111214","LeeSharpeNFL","1524792983668740096","The #nflverse games data will be updated tonight, after 8pm ET when the schedule is officially announced by the NFL on https://t.co/x0A940v0wN.

At that point @nflseedR will begin using that schedule when simulating 2022, which will also be the default."
