"created_at","user_id","screen_name","status_id","full_text"
"Wed Feb 09 02:12:13 +0000 2022","2288619214","Goshorn_ben","1491233443363319815","Highest percent of targets ending in an INT goes to Deonte Harris who barely snuck in with 59 targets

I think 3 of Andrew's 9 came in the first meeting with the Browns

Obviously not a reflection of how good these receivers are 
#nflverse https://t.co/fngaiG3byz"
"Wed Feb 09 22:32:59 +0000 2022","1370449271540043776","_pranavrajaram","1491540660821934085","The Bengals are the worst Red Zone team to make the Super Bowl this decade, ranking bottom 10 in red zone plays run.

They were able to get by in the TD department thanks to a ton of big plays, but if Jalen Ramsey &amp; Co. lock up the deep ball, Cincy is in trouble.

Data: #nflverse https://t.co/tLqvv15aCQ"
